Time,Fraction of Second,Code
12:00:00,0,Q
12:00:00,0.25,D
12:00:00,0.5,P
12:00:00,0.75,P
12:00:02,0,Y
12:00:04,0,B
12:00:04,0.0625,Z
12:00:04,0.125,A
12:00:04,0.1875,P
12:00:04,0.25,P
12:00:04,0.3125,Q
12:00:04,0.375,A
12:00:04,0.4375,P
12:00:04,0.5,K
12:00:04,0.5625,A
12:00:04,0.625,A
12:00:04,0.6875,A
12:00:04,0.75,A
12:00:04,0.8125,P
12:00:04,0.875,K
12:00:04,0.9375,Z
12:00:05,0,P
12:00:05,0.142857143,P
12:00:05,0.285714286,Q
12:00:05,0.428571429,D
12:00:05,0.571428571,D
12:00:05,0.714285714,D
12:00:05,0.857142857,P
12:00:06,0,D
12:00:06,0.125,D
12:00:06,0.25,D
12:00:06,0.375,D
12:00:06,0.5,D
12:00:06,0.625,D
12:00:06,0.75,D
12:00:06,0.875,D
12:00:07,0,B
12:00:07,0.2,J
12:00:07,0.4,D
12:00:07,0.6,D
12:00:07,0.8,D
12:00:09,0,K
12:00:09,0.090909091,Q
12:00:09,0.181818182,Q
12:00:09,0.272727273,Q
12:00:09,0.363636364,P
12:00:09,0.454545455,K
12:00:09,0.545454545,D
12:00:09,0.636363636,K
12:00:09,0.727272727,D
12:00:09,0.818181818,P
12:00:09,0.909090909,D
12:00:11,0,D
12:00:11,0.25,D
12:00:11,0.5,D
12:00:11,0.75,D
12:00:12,0,D
12:00:12,0.076923077,D
12:00:12,0.153846154,Q
12:00:12,0.230769231,Z
12:00:12,0.307692308,Z
12:00:12,0.384615385,K
12:00:12,0.461538462,D
12:00:12,0.538461538,D
12:00:12,0.615384615,D
12:00:12,0.692307692,D
12:00:12,0.769230769,D
12:00:12,0.846153846,D
12:00:12,0.923076923,P
12:00:14,0,P
12:00:14,0.25,A
12:00:14,0.5,P
12:00:14,0.75,P
12:00:15,0,Z
12:00:15,0.25,Z
12:00:15,0.5,D
12:00:15,0.75,D
12:00:16,0,D
12:00:17,0,B
12:00:17,0.111111111,X
12:00:17,0.222222222,Q
12:00:17,0.333333333,Q
12:00:17,0.444444444,Q
12:00:17,0.555555556,Q
12:00:17,0.666666667,D
12:00:17,0.777777778,D
12:00:17,0.888888889,D
12:00:18,0,P
12:00:20,0,D
12:00:23,0,K
12:00:23,0.5,K
12:00:24,0,A
12:00:24,0.04,P
12:00:24,0.08,Y
12:00:24,0.12,Q
12:00:24,0.16,Q
12:00:24,0.2,B
12:00:24,0.24,Q
12:00:24,0.28,Q
12:00:24,0.32,K
12:00:24,0.36,K
12:00:24,0.4,A
12:00:24,0.44,Q
12:00:24,0.48,Q
12:00:24,0.52,Q
12:00:24,0.56,K
12:00:24,0.6,P
12:00:24,0.64,P
12:00:24,0.68,P
12:00:24,0.72,D
12:00:24,0.76,D
12:00:24,0.8,D
12:00:24,0.84,D
12:00:24,0.88,D
12:00:24,0.92,D
12:00:24,0.96,D
12:00:25,0,Q
12:00:25,0.125,Z
12:00:25,0.25,Q
12:00:25,0.375,Q
12:00:25,0.5,Y
12:00:25,0.625,A
12:00:25,0.75,D
12:00:25,0.875,D
12:00:26,0,Z
12:00:26,0.166666667,Q
12:00:26,0.333333333,Z
12:00:26,0.5,D
12:00:26,0.666666667,D
12:00:26,0.833333333,D
12:00:27,0,D
12:00:27,0.333333333,D
12:00:27,0.666666667,D
12:00:28,0,D
12:00:28,0.142857143,D
12:00:28,0.285714286,D
12:00:28,0.428571429,D
12:00:28,0.571428571,D
12:00:28,0.714285714,D
12:00:28,0.857142857,D
12:00:31,0,D
12:00:31,0.5,D
12:00:32,0,Q
12:00:32,0.5,A
12:00:33,0,K
12:00:36,0,Q
12:00:38,0,D
12:00:38,0.25,D
12:00:38,0.5,P
12:00:38,0.75,D
12:00:41,0,Q
12:00:41,0.125,Q
12:00:41,0.25,Q
12:00:41,0.375,Q
12:00:41,0.5,J
12:00:41,0.625,D
12:00:41,0.75,P
12:00:41,0.875,P
12:00:43,0,D
12:00:43,0.0625,D
12:00:43,0.125,D
12:00:43,0.1875,D
12:00:43,0.25,Q
12:00:43,0.3125,P
12:00:43,0.375,Z
12:00:43,0.4375,K
12:00:43,0.5,J
12:00:43,0.5625,A
12:00:43,0.625,D
